id,habitat_element,image_url,image_alt,attribution,image_type
1,rasen,https://animal-aided-design.de/wp-content/uploads/2024/11/Rasen.png,Rasen,Studio Animal-Aided Design,portrait
2,blumenrasen,https://animal-aided-design.de/wp-content/uploads/2024/11/Blumenrasen.png,Blumenrasen,Studio Animal-Aided Design,portrait
3,blumenwiese,https://animal-aided-design.de/wp-content/uploads/2024/11/Blumenwiese.png,Blumenwiese,Studio Animal-Aided Design,portrait
4,magerrasen,https://animal-aided-design.de/wp-content/uploads/2024/11/Magerrasen.png,Magerrasen,Studio Animal-Aided Design,portrait
5,magerrasen_mit_ameisenvorkommen,,Magerrasen mit Ameisenvorkommen,Studio Animal-Aided Design,portrait
6,ruderalflaeche,https://animal-aided-design.de/wp-content/uploads/2024/11/Ruderalflaeche.png,Ruderalfläche,Studio Animal-Aided Design,portrait
7,wild_staudenflaeche,https://animal-aided-design.de/wp-content/uploads/2024/11/Wild-Staudenflaechen.png,(Wild-)Staudenfläche,Studio Animal-Aided Design,portrait
8,krautsaum,https://animal-aided-design.de/wp-content/uploads/2024/11/Krautsaum.png,Krautsaum,Studio Animal-Aided Design,portrait
9,altgrasstreifen,https://animal-aided-design.de/wp-content/uploads/2024/11/Altgrasstreifen.png,Altgrasstreifen,Studio Animal-Aided Design,portrait
10,straeucher,https://animal-aided-design.de/wp-content/uploads/2024/11/Straeucher2.png,Sträucher,Studio Animal-Aided Design,portrait
11,dichte_straeucher,https://animal-aided-design.de/wp-content/uploads/2024/11/Dichte-Straeucher.png,Dichte Sträucher,Studio Animal-Aided Design,portrait
12,wild_hecken,https://animal-aided-design.de/wp-content/uploads/2024/11/Dichte-Straeucher.png,(Wild-)Hecken,Studio Animal-Aided Design,portrait
13,straeuchergruppen_straeucher_clumps,https://animal-aided-design.de/wp-content/uploads/2024/11/Straeucherclumps.png,Sträuchergruppen (Sträucher-Clumps),Studio Animal-Aided Design,portrait
14,baeume,https://animal-aided-design.de/wp-content/uploads/2024/11/Baeume.png,Bäume,Studio Animal-Aided Design,portrait
15,laubgehoelze,https://animal-aided-design.de/wp-content/uploads/2024/11/Baeume.png,Laubgehölze,Studio Animal-Aided Design,portrait
16,streuobstwiese,https://animal-aided-design.de/wp-content/uploads/2024/11/Streuobstwiese.png,Streuobstwiese,Studio Animal-Aided Design,portrait
17,junge_nadelbaeume,https://animal-aided-design.de/wp-content/uploads/2024/11/Junge-Nadelbaeume-.png,(Junge) Nadelbäume,Studio Animal-Aided Design,portrait
18,baumgruppen,https://animal-aided-design.de/wp-content/uploads/2024/11/Baumgruppen.png,Baumgruppen,Studio Animal-Aided Design,portrait
19,kletterpflanzen_selbstklimmer,https://animal-aided-design.de/wp-content/uploads/2024/11/Selbstklimmer-1.png,Kletterpflanzen Selbstklimmer,Studio Animal-Aided Design,portrait
20,kletter_und_schlingpflanzen_mit_rankgeruest,https://animal-aided-design.de/wp-content/uploads/2024/11/Rankgeruest.png,Kletter- und Schlingpflanzen mit Rankgerüst,Studio Animal-Aided Design,portrait
21,gartenbeete,https://animal-aided-design.de/wp-content/uploads/2024/11/Gartenbeete.png,Gartenbeete,Studio Animal-Aided Design,portrait
