id,habitat_element,habitat_element_type,size,location,measure_description,maintenance,combined_with
rasen,Rasen,Vegetation,,,Frisch gemähte (daher kurzrasige) Wiesen. Ansaat mit Regiosaatgutmischung . Die Ansaat sollte im September/Oktober oder zwischen Februar bis Mai erfolgen. Der Boden sollte möglichst vor und nach der Anssat gewalzt werden. Das Saatgut sollte flach auf dem Boden abgelegt und nur leicht mit Erde überdeckt werden (max. 0.5 cm).,"Mahd ca. 8-10 x pro Jahr. Die Mahd sollte mit tierschonenden Balkenmähern, Spindelmähern oder Handsensen erfolgen. Motorsensen, Mähroboter, Mulch- und Kreiselmäher sollten keinesfalls eingesetzt werden. Wird bei der Mahd ein herkömmlicher Rasenmäher eingesetzt, sollte die Mahd immer von innen nach außen erfolgen und die Fläche vor der Mahd auf Tiere kontrolliert werden.",Altgrasstreifen
blumenrasen,Blumenrasen,Vegetation,,,Ansaat mit Regiosaatgut Blumenrasen. Die Ansaat sollte im September/Oktober oder zwischen Februar bis Mai erfolgen. Der Boden sollte möglichst vor und nach der Anssat gewalzt werden. Das Saatgut sollte flach auf dem Boden abgelegt und nur leicht mit Erde überdeckt werden (max. 0.5 cm).,"Mahd ca. 5 x pro Jahr. Die Mahd sollte mit tierschonenden Balkenmähern, Spindelmähern oder Handsensen erfolgen. Motorsensen, Mähroboter, Mulch- oder Kreiselmäher sollten keinesfalls eingesetzt werden. Wird bei der Mahd ein herkömmlicher Rasenmäher eingesetzt, sollte die Mahd immer von innen nach außen erfolgen und die Fläche vor der Mahd auf Tiere kontrolliert werden. Das Schnittgut sollte 3-7 Tage auf der Fläche verbleiben und dann entfernt werden.",Altgrasstreifen
blumenwiese,Blumenwiese,Vegetation,,,"Die Anlage der Wiesenflächen kann durch Aussaat einer standortangepassten, regionalen Samenmischung erfolgen. Die Ansaat sollte im September/Oktober oder zwischen März bis Mai erfolgen. Für kleinere Flächen kann sich ein Bodenaustausch (20-30cm tief) anbieten, um eine Abmagerung des Bodensubstrats zu erreichen. Dies ist jedoch im Bestand mit erhöhtem Aufwand verbunden. Bei größeren Flächen, die aus dem Bestand entwickelt werden sollen, wird das vorhandene Gras gemäht und Wurzelunkräuter gezielt ausgegraben. Die Grasnarbe wird 5cm tief abgeschoben, mit Sand aufgefüllt und anschließend 15 cm tief gefräst. Dabei werden restliche im Boden vorhandene Rhizome entfernt. Zwischen Bodenbearbeitung und Aussaat sollten 2-3 Wochen liegen, aufkommende Spontanvegetation wird weiter entfernt. Der Boden sollte möglichst vor und nach der Anssat gewalzt werden. Das Saatgut sollte flach auf dem Boden abgelegt und nur leicht mit Erde überdeckt werden (max. 0.5 cm). Eine Bewässerung ist nicht nötig, empfohlen wird jedoch, die Ansaat in einen niederschlagsreichen Zeitraum zu legen, um das Keimen zu begünstigen. Für die Entwicklung von Wildblumen nach Ansaat ist der Zeitpunkt und eine geringe Schnitthäufigkeit, sowie Entfernung des Mahdguts besonders wichtig.","Mahd 1-2 x pro Jahr. Wiesenflächen sind im Spätsommer oder im Winterhalbjahr bei kühlen Temperaturen in einer Schönwetterperiode zu mähen, um die Trocknung und Aussamung der Wiesenkräuter zu ermöglichen. Sollte der Standort eine starke Wüchsigkeit aufweisen, ist möglicherweise eine Mahd im Sommer (Ende Juni / Anfang Juli) erforderlich. Zum weiteren Schutz der Wiesenfauna erfolgt die Mahd abschnittsweise (im Abstand von ca. 8-10 Wochen) und idealerweise morgens oder abends. Das Mahdgut sollte nie gehäckselt werden und einige Zeit (3-7 Tage) auf der Fläche trocknen, um Insekten und Kleinorganismen das Verlassen und Blütenpflanzen das Versamen zu ermöglichen, und danach entfernt werden. Bei der Bewirtschaftung sind keine Mähroboter, Motorsensen, Mulch- oder Kreiselmäher, sondern tierschonende Balkenmäher, Spindelmäher oder Handsensen einzusetzen. Wird bei der Mahd ein herkömmlicher Rasenmäher eingesetzt, sollte die Mahd immer von innen nach außen erfolgen und die Fläche vor der Mahd auf Tiere kontrolliert werden.Die Schnitthöhe ist während der Aktivitätsphase der Zauneidechse zwischen Anfang März bis Mitte Oktober auf mind. 15 cm zu setzen. Säume, Böschungen oder Altgrasstreifen sind als Restflächen stehen zu lassen. Invasiver Aufwuchs muss regelmäßig abgemäht und bei Bedarf durch Ausgraben entfernt werden. (Hemmann et al. 1987; Oppermann & Claßen 1998)",Altgrasstreifen
magerrasen,Magerrasen,Vegetation,,"trocken, sonnig",Ansaat Regiosaatgut Magerrasenmischung an nährstoffärmeren und trockenen Standorten auf einem unkrautfreiem Substrat. Die Ansaat sollte im September/Oktober oder zwischen Februar bis Mai erfolgen. Der Boden sollte möglichst vor und nach der Anssat gewalzt werden. Das Saatgut sollte flach auf dem Boden abgelegt und nur leicht mit Erde überdeckt werden (max. 0.5 cm).,"Die Magerrasenflächen sind im Wechsel nur alle 2-3 Jahre ab Oktober zu mähen. Bei der Mahd werden die Flächen in Streifen aufgeteilt und die einzelnen Abschnitte im Abstand von ca. 8-10 Wochen gemäht. Die Streifen sollen von innen nach außen gemäht werden und sind vor der Mahd auf Tiere zu kontrollieren, um sich im Magerrasen aufhaltende Individuen eine Flucht zu ermöglichen und diese nicht durch die Mahd zu töten. Es ist zudem erstrebenswert, bei der Mahd einen oder mehrere Altgrasstreifen über die Wintermonate stehen zu lassen, um den Tieren ein geeignetes Habitat zur Überwinterung zu bieten. Die Altgrasstreifen können dann im April des folgenden Jahres gemäht werden. Die Mahd sollte mit Handsense, Spindelmäher oder Balkenmäher, Schnitthöhe mind. 10 cm, durchgeführt werden. Wird bei der Mahd ein herkömmlicher Rasenmäher eingesetzt, sollte die Mahd immer von innen nach außen erfolgen und die Fläche vor der Mahd auf Tiere kontrolliert werden. Das Mahdgut muss, nachdem es einige Zeit (3-7 Tage) auf der Fläche verblieb, um Insekten und Kleinorganismen das Verlassen und Blütenpflanzen das Versamen zu ermöglichen, entfernt werden. Obwohl in unkrautfreies Substrat gepflanzt und gesät wird, sollten in den ersten Jahren 2 bis 3 Pflegegänge pro Jahr durchgeführt werden um einfliegende Samenunkräuter oder etwaige noch vorhandene Wurzelunkräuter zu entfernen. (Hemmann et al. 1987; Oppermann & Claßen 1998; Unterweger et al. 2015; Hiller & Betz 2014; Verein biodivers et. al. 2017; Ackermann et al. 2016)",Altgrasstreifen
magerrasen_mit_ameisenvorkommen,Magerrasen mit Ameisenvorkommen,Vegetation,,"trocken, sonnig",Ansaat Regiosaatgut Magerrasenmischung an nährstoffärmeren und trockenen Standorten. Die Ansaat sollte im September/Oktober oder zwischen Februar bis Mai erfolgen. Der Boden sollte möglichst vor und nach der Anssat gewalzt werden. Das Saatgut sollte flach auf dem Boden abgelegt und nur leicht mit Erde überdeckt werden (max. 0.5 cm).,"Mahd ca.1 x pro Jahr mit Handsense, Spindelmähern oder Balkenmäher, Schnitthöhe mind. 10 cm. Es sollten keine Motorsense, Mähroboter, Mulch- oder Kreiselmäher eingesetzt werden. Wird bei der Mahd ein herkömmlicher Rasenmäher eingesetzt, sollte die Mahd immer von innen nach außen erfolgen und die Fläche vor der Mahd auf Tiere kontrolliert werden. Das Mahdgut muss, nachdem es einige Zeit (3-7 Tage) auf der Fläche verblieb, um Insekten und Kleinorganismen das Verlassen und Blütenpflanzen das Versamen zu ermöglichen, entfernt werden. Ameisen dürfen nicht bekämpft werden, sondern sollten sich ungehindert entwickeln dürfen.",
ruderalflaeche,Ruderalfläche,Vegetation,mind. 4 m2 mit max. 25% Bodenbedeckung/Vegetation,"trocken, sonnig","Ruderalflächen sollten in den oberen 20cm der Bodenschicht eineen Anteil von mind. 70% Sand oder Splitt enthalten. Zur Neuanlage von Ruderalflächen (offene, vegetationsarme Stellen) ist die obere Bodenschicht bis 30cm Tiefe abzutragen und die Fläche mit Wandkies, oder anderen vergleichbaren nährstoffarmen Substraten, aufzufüllen (SenUVK, 2016, Schudel 2009). Die Ränder können durch Einbau von Steinen oder Totholzstämmen vor zu schnellem Überwachsen geschützt werden. Je größer die Fläche ist, desto langsamer wachsen die Flächen von außen ein.","Ruderalflächen sind nicht regelmäßig zu mähen. Sie zeichnen sich dadurch aus, dass sie über ein paar Jahre sich selbst überlassen werden und sich dabei stetig verändern. Sofern sich Pflanzen ansiedeln, die zu starkwüchsig sind oder Gehölze aufkommen, sind diese per Hand mit den Wurzeln zu entfernen. Invasive Neophyten sind zu entfernen. Dies kann bei einer jährlichen Begehung der Flächen im Frühjahr erfolgen. Alle zwei bis drei Jahre ist erneut Wandkies auf die Flächen auszubringen. Um Aufwuchs zu entfernen kann, vor allem, wenn es sich um eine größer Fläche handelt, auch gemäht werden, z.B. alle zwei Jahre oder jährlich abwechselnd jeweils auf einer Hälfte der Fläche. Die Pflege kann also mit regelmäßigem Aufwand zur Erhaltung des Status quo erfolgen oder die Ruderalfläche als Sukzessionsfläche entwickelt werden, wobei kaum Pflegemaßnahmen anfallen. Langfristig sollten bei komplettem Bewuchs der Fläche jedoch wieder neue Ruderalflächen (ggf. an anderer Stelle) angelegt werden. (Schüepp 2016)","Steinschüttungen, Totholzanlagen"
wild_staudenflaeche,(Wild-)Staudenfläche,Vegetation,,,"Stauden sind mehrjährige, winterharte Blumen, Gräser, Farne und sonstige ausdauernde Kräuter. Es empfiehlt sich eine kombinierte Pflanzung und Aussaat von vorwiegend heimischen, selbst vermehrungsfähigen Arten mit einem breiten Artenspektrum. Dies ermöglicht die selbstständige Anpassung der Artenmischung an die jeweiligen Standortbedingungen (Witt 2019).","Extensive Staudenpflanzungen oder Wildstaudenpflanzungen sollen sich nach Etablierung weitgehend pflegefrei entwickeln können, das heißt, es wird weder bewässert noch bedarf es regelmäßiger, über das Jahr verteilter Eingriffe. Um die Nahrungsverfügbarkeit für Tiere zu maximieren, bleiben die Stauden über den Winter stehen. Ein Rückschnitt der Stauden erfolgt ab Februar bis April zeitlich gestaffelt mit einer Handsense, Spindel- oder Balkenmäher. Immergrüne Pflanzen sind nicht zu schneiden.",
krautsaum,Krautsaum,Vegetation,mind. 50-100 cm Breite,,"Das Entwicklungsziel der Maßnahme sind standortangepasste und vielfältige Krautsäume vor Gebüschen und Hecken, meist im Übergang zu Rasenflächen oder Wiesen. Die Neuanlage der Krautsäume erfolgt durch Aussaat einer, nach einer Bodenanalyse mit einem Saatguthersteller abgestimmten, standortgeeigneten Samenmischung. Diese kann ggf. mit für die Zielarten besonders geeigneten Pflanzenarten ergänzt werden.","Bei der Entwicklungspflege ist kein Rindenmulch in die Lücken und an den Sträuchern einzubringen. Durch mangelnde Pflege kommt es an vielen Gehölzrändern durch die Ausbreitung der angrenzenden Gehölzbestände zu einer Verbuschung. Durch zu häufiges Mähen und Mulchmahd erfolgt oft eine Vergrasung von Krautsäumen. Durch richtiges Mähen und vor allem die Entfernung des Mahdguts ist eine langfristige Abmagerung zu erwarten und eine weitere Nähstoffanreicherung wird unterbunden. Krautsäume werden 1x jährlich abschnittsweise im Abstand von 8-10 Wochen im Frühjahr (März) gemäht. Der Frühjahrszeitpunkt widerspricht den Angaben vieler Leitfäden zum Mähen von Wiesen, ermöglicht es aber für Tiere Nahrung und Quartiere im Herbst und Winter bereitzustellen. Dieser Mähzeitpunkt weicht vom Mährhythmus der anschließenden Wiesen ab. Sollte es aus logistischen Gründen nicht möglich sein einen Krautsaum separat zu mähen, sollte die Mahd gemeinsam mit der ersten Wiesenmahd Ende Mai bis Mitte Juli erfolgen. Bei der Bewirtschaftung sind keine Kreiselmäher, Motorsensen, Mulch- oder Mähroboter, sondern tierschonende Handsensen, Balken- oder Spindelmäher einzusetzen. Wird bei der Mahd ein herkömmlicher Rasenmäher eingesetzt, sollte die Mahd immer von innen nach außen erfolgen und die Fläche vor der Mahd auf Tiere kontrolliert werden. Die Schnitthöhe ist auf mind. 15 cm zu setzen. Das Mahdgut soll nach der Mahd einige Zeit (3 Tage bis 1 Woche) auf der Fläche trocknen, um Insekten und Kleinorganismen das Verlassen und Blütenpflanzen das Versamen zu ermöglichen. Anschließend ist es von der Fläche zu entfernen. Stauden unter Sträuchern sind in einem Winterrückschnitt bei starkem Wuchs und Bedarf im Februar zu mähen. (Kiehl & Kirmer 2017; Kollmann et al. 2019; Hemmann et al. 1987; Oppermann & Claßen 1998; Witt 2019; Unterweger et al. 2015; Bund Darmstadt o. J.)",Blumenwiese; Blumenrasen
altgrasstreifen,Altgrasstreifen,Vegetation,mind. 50 cm Breite,,"Das Stehenlassen von Altgrasstreifen empfiehlt sich insbesondere entlang von Gräben, Zäunen, Wegrändern oder Böschungen und Gehölzen. Sie dienen als mögliche Vernetzungsstruktur für viele Tierarten und bieten einen Flucht- und Rückzugsraum für Insekten und kleine Wirbeltiere während und nach der Mahd. Die ausgebildeten Samen der Gräser und Kräuter dienen vielen Tieren als Nahrung. Im Winter bieten sie vielen Insektenarten eine sichere Überwinterungsstätte.","Eine Mahd erfolgt alle 2-4 Jahre mit tierschonendem Balkenmäher, Handsense oder Spindelmäher. Motorsensen, Mulch- oder Kreiselmäher sollten keinesfalls eingesetzt werden. Wird bei der Mahd ein herkömmlicher Rasenmäher eingesetzt, sollte die Mahd immer von innen nach außen erfolgen und die Fläche vor der Mahd auf Tiere kontrolliert werden.",Blumenwiese; Blumenrasen
straeucher,Sträucher,Vegetation,Gehölzhöhe von 2-3 m,,Anpflanzung von vorwiegend einheimischen Sträuchern. Wildarten haben in der Regel einen höheren ökologischen Wert für einheimische Tiere und sind daher Zuchtsorten vorzuziehen.,Sträucher sollten sich wenn möglich frei entwickeln können und sollten nur bei Bedarf einem Pflegeschnitt unterzogen werden.,Blumenwiese; Blumenrasen
