id,species,plant,purpose,annotations,sources
1,Anthidium oblongatum,Allium flavum,Pollen- und Nektarquelle,,wildbienen.info
2,Anthidium oblongatum,Allium lusitanicum,Pollen- und Nektarquelle,,wildbienen.info
3,Anthidium oblongatum,Anaphalis margaritacea,Nistmaterialquelle,nicht heimisch,wildbienen.info
4,Anthidium oblongatum,Carlina vulgaris,Nistmaterialquelle,,wildbienen.info
5,Anthidium oblongatum,Crepis capillaris,Sekretlieferant,,Westrich 2018
6,Anthidium oblongatum,Echinops ritro,Nistmaterialquelle,nicht heimisch,wildbienen.info
7,Anthidium oblongatum,Edraianthus graminifolius,Pollen- und Nektarquelle,,wildbienen.info
8,Anthidium oblongatum,Helichrysum arenarium,Nistmaterialquelle,,wildbienen.info
9,Anthidium oblongatum,Helichrysum thianshanicum,Nistmaterialquelle,,wildbienen.info
10,Anthidium oblongatum,Jasione montana,Pollen- und Nektarquelle,,Westrich 2018
11,Anthidium oblongatum,Lotus corniculatus,Pollen- und Nektarquelle,bevorzugte Pollenquelle; bevorzugtes Männchenterritorium,Westrich 2018
12,Anthidium oblongatum,Lychnis coronaria,Nistmaterialquelle,"nicht heimisch, vermehrt sich stark über Selbstaussaat",wildbienen.info
13,Anthidium oblongatum,Melilotus albus,Pollen- und Nektarquelle,,Westrich 2018
14,Anthidium oblongatum,Melilotus officinalis,Pollen- und Nektarquelle,,Westrich 2018
15,Anthidium oblongatum,Onobrychis viciifolia,Pollen- und Nektarquelle,bevorzugte Pollenquelle,Westrich 2018
16,Anthidium oblongatum,Reseda lutea,Pollen- und Nektarquelle,bevorzugte Pollenquelle; bevorzugtes Männchenterritorium,Westrich 2018
17,Anthidium oblongatum,Reseda luteola,Pollen- und Nektarquelle,bevorzugte Pollenquelle; bevorzugtes Männchenterritorium,Westrich 2018
18,Anthidium oblongatum,Sedum acre,Pollen- und Nektarquelle,bevorzugte Pollenquelle,Westrich 2018
19,Anthidium oblongatum,Sedum album,Pollen- und Nektarquelle,bevorzugte Pollenquelle,Westrich 2018
20,Anthidium oblongatum,Sedum rupestre,Pollen- und Nektarquelle,bevorzugte Pollenquelle; bevorzugtes Männchenterritorium,Westrich 2018
21,Anthidium oblongatum,Sedum spurium,Pollen- und Nektarquelle,invasiver Neophyt,Westrich 2018
22,Anthidium oblongatum,Sempervivum archnoideum,Pollen- und Nektarquelle,bevorzugtes Männchenterritorium,Westrich 2018
23,Anthidium oblongatum,Stachys byzantina,Nistmaterialquelle,,wildbienen.info
24,Anthidium oblongatum,Stachys germanica,Nistmaterialquelle,,wildbienen.info
25,Anthidium oblongatum,Verbascum sp.,Nistmaterialquelle,,wildbienen.info
