id,species,plant,purpose,annotations,sources
1,Papilio machaon,Anethum graveolens,Raupennahrungspflanze,,
2,Papilio machaon,Angelica sylvestris,Raupennahrungspflanze,,
3,Papilio machaon,Apiaceae sp.,Raupennahrungspflanze,,
4,Papilio machaon,Buddleja davidii,Nektarlieferant (Falter),bevorzugt; invasiver Neophyt,
5,Papilio machaon,Carduus nutans,Nektarlieferant (Falter),bevorzugt,
6,Papilio machaon,Carum carvi,Raupennahrungspflanze,,
7,Papilio machaon,Centaurea sp.,Nektarlieferant (Falter),bevorzugt,
8,Papilio machaon,Daucus carota,Raupennahrungspflanze,bevorzugt,
9,Papilio machaon,Daucus carota subsp. Sativus,Raupennahrungspflanze,bevorzugt,
10,Papilio machaon,Dianthus carthusianorum,Nektarlieferant (Falter),,
11,Papilio machaon,Dictamnus albus,Raupennahrungspflanze,,
12,Papilio machaon,Echium vulgare,Nektarlieferant (Falter),,
13,Papilio machaon,Foeniculum vulgare,Raupennahrungspflanze,bevorzugt,
14,Papilio machaon,Glechoma hereracea,Nektarlieferant (Falter),,
15,Papilio machaon,Knautia arvensis,Nektarlieferant (Falter),,
16,Papilio machaon,Laserpitium prutenicum,Nektarlieferant (Falter),,
17,Papilio machaon,Lavandula angustifolia,Nektarlieferant (Falter),,
18,Papilio machaon,Meum athamanticum,Raupennahrungspflanze,,
19,Papilio machaon,Petroselinum crispum,Raupennahrungspflanze,,
20,Papilio machaon,Pimpinella sp.,Raupennahrungspflanze,,
21,Papilio machaon,Ruta graveolens,Raupennahrungspflanze,,
22,Papilio machaon,Sanguisorba minor,Raupennahrungspflanze,,
23,Papilio machaon,Taraxacum sp.,Nektarlieferant (Falter),,
24,Papilio machaon,Trifolium pratense,Nektarlieferant (Falter),bevorzugt,
