id,species,plant,purpose,annotations,sources
1,Plebejus idas,Anthyllis vulneraria,Raupennahrungspflanze,,www.deutschlands-natur.de; Settele et al. 2015
2,Plebejus idas,Astragalus onobrychis,Nektarlieferant (Falter),,Settele et al. 2015
3,Plebejus idas,Buphthalmum salicifolium,Nektarlieferant (Falter),,Pfeuffer 1998
4,Plebejus idas,Calluna vulgaris,Raupennahrungspflanze,,www.deutschlands-natur.de
5,Plebejus idas,Centaurea jacea,Nektarlieferant (Falter),,Pfeuffer 1998
6,Plebejus idas,Erica sp.,Raupennahrungspflanze,,Settele et al. 2015
7,Plebejus idas,Genista pilosa,Raupennahrungspflanze,,www.deutschlands-natur.de
8,Plebejus idas,Helianthemum nummularium,Raupennahrungspflanze,,Settele et al. 2015
9,Plebejus idas,Hippophae rhamnoides,Raupennahrungspflanze,,BUND
10,Plebejus idas,Jasione montana,Nektarlieferant (Falter),,Settele et al. 2015
11,Plebejus idas,Knautia arvensis,Nektarlieferant (Falter),,Pfeuffer 1998
12,Plebejus idas,Lotus corniculatus,Raupennahrungspflanze; Nektarlieferant (Falter),,www.deutschlands-natur.de; Settele et al. 2015; Pfeuffer 1998
13,Plebejus idas,Medicago lupulina,Nektarlieferant (Falter); Raupennahrungspflanze,,Pfeuffer 1998
14,Plebejus idas,Medicago lupulina,Raupennahrungspflanze,,Pfeuffer 1998
15,Plebejus idas,Melilotus albus,Raupennahrungspflanze,,www.deutschlands-natur.de; Settele et al. 2015
16,Plebejus idas,Onobrychis viciaefolia,Nektarlieferant (Falter),,Pfeuffer 1998
17,Plebejus idas,Origanum vulgare,Nektarlieferant (Falter),,Pfeuffer 1998
18,Plebejus idas,Rubus caesius,Nektarlieferant (Falter),,Pfeuffer 1998
19,Plebejus idas,Sarothamnus scoparius,Raupennahrungspflanze,,www.deutschlands-natur.de; Settele et al. 2015
20,Plebejus idas,Solidago virgaurea,Nektarlieferant (Falter),,Settele et al. 2015
21,Plebejus idas,Thymus pulegioides,Nektarlieferant (Falter),,Pfeuffer 1998
22,Plebejus idas,Trifolium campestre,Raupennahrungspflanze,,Settele et al. 2015; Pfeuffer 1998
23,Plebejus idas,Trifolium pratense,Raupennahrungspflanze,,Pfeuffer 1998
24,Plebejus idas,Trifolium repens,Nektarlieferant (Falter),,Settele et al. 2015
