id,species,plant,purpose,annotations,sources
1,Pyrrhula pyrrhula,Acer campestris,"Nahrung (Samen, Knospen)",,
2,Pyrrhula pyrrhula,Acer campestris,Schutz- und Nistgehölz,,
3,Pyrrhula pyrrhula,Alliaria petiolata,Nahrung (Samen),,
4,Pyrrhula pyrrhula,Artemisia vulgaris,Nahrung (Samen),,Glutz von Blotzheim 2001
5,Pyrrhula pyrrhula,Betula pendula,"Nahrung (Kätzchen, Samen)",,
6,Pyrrhula pyrrhula,Carpinus betulus,Nahrung (Samen),,
7,Pyrrhula pyrrhula,Chenopodium album,Nahrung (Samen),,Glutz von Blotzheim 2001
8,Pyrrhula pyrrhula,Cornus mas,"Schutzgehölz, Nahrung (Samen, Früchte)",,
9,Pyrrhula pyrrhula,Cornus sanguinea,"Schutzgehölz, Nahrung (Samen, Früchte)",,
10,Pyrrhula pyrrhula,Corylus avellana,"Nahrung (Kätzchen, Knospen)",Super Insektenpflanze,
11,Pyrrhula pyrrhula,Crataegus monogyna,"Schutzgehölz, Nahrung (Samen, Früchte)",,
12,Pyrrhula pyrrhula,Echinops sp. ,Nahrung (Samen),nicht heimisch,
13,Pyrrhula pyrrhula,Euonymus europaeus,Nahrung (Samen),,
14,Pyrrhula pyrrhula,Filipendula ulmaria,Nahrung (Samen),,Glutz von Blotzheim 2001
15,Pyrrhula pyrrhula,Fraxinus excelsior,"Schutzgehölz, Nahrung (Samen, Früchte)",,
16,Pyrrhula pyrrhula,Hedera helix,"Schutzgehölz, Nahrung (Samen, Früchte)",,
17,Pyrrhula pyrrhula,Larix decidua,"Nahrung (Knospen, Samen)",wichtige Winternahrung,
18,Pyrrhula pyrrhula,Ligustrum vulgare,Winterfutter (Beeren),,
19,Pyrrhula pyrrhula,Lonicera xylosteum,Nahrung (Samen; Früchte),,
20,Pyrrhula pyrrhula,Lonicera caprifolium,"Nahrung (Samen, Früchte)",,
21,Pyrrhula pyrrhula,Lonicera periclymenum,"Nahrung (Samen, Früchte)",,
22,Pyrrhula pyrrhula,Malus sp. ,Nahrung (Knospen),,
23,Pyrrhula pyrrhula,Mercurialis perennis,Nahrung (Samen),,
24,Pyrrhula pyrrhula,Picea abies,"Schutz- und Nistgehölz, Nahrung (Samen, junge Triebe)",,
25,Pyrrhula pyrrhula,Populus tremula,Nahrung (Samen; Kätzchen),Eine der wichtigsten Nahrungsgrundlagen der einheimischen Schmetterlingsflora,
26,Pyrrhula pyrrhula,Prunus domestica,"Nahrung (Früchte, Knospen, junge Blätter, Blüten)",,
27,Pyrrhula pyrrhula,Prunus padus,"Schutzgehölz, Nahrung (Samen, Früchte)",,
28,Pyrrhula pyrrhula,Prunus sp.,"Schutzgehölz, Nahrung (Knospen, Früchte)",,
29,Pyrrhula pyrrhula,Prunus spinosa,"Schutzgehölz, Nahrung (Samen, Früchte)",,
30,Pyrrhula pyrrhula,Quercus sp.,Nahrung (Knospen),,
31,Pyrrhula pyrrhula,Ranunculus sp.,Nahrung (Samen),,
32,Pyrrhula pyrrhula,Rhamnus cathartica,Nahrung (Samen),,
33,Pyrrhula pyrrhula,Rhamnus frangula,Nahrung (Samen),,
34,Pyrrhula pyrrhula,Rubus fruticosus,Nahrung (Früchte; Samen),untergeordnete Bedeutung als Beerenlieferant,
35,Pyrrhula pyrrhula,Rubus idaeus,"Nahrung (Samen, Fruchtfleisch)",,
36,Pyrrhula pyrrhula,Rumex sp.,Nahrung (Samen),,Glutz von Blotzheim 2001
37,Pyrrhula pyrrhula,Salix sp.,Nahrung (Kätzchen),,
38,Pyrrhula pyrrhula,Sambucus nigra,Nahrung (Früchte),Hauptbeerenlieferant,
39,Pyrrhula pyrrhula,Sambucus racemosa,"Schutzgehölz, Nahrung (Samen, Früchte)",,
40,Pyrrhula pyrrhula,Sinapis arvensis,Nahrung (Samen),,Glutz von Blotzheim 2001
41,Pyrrhula pyrrhula,Solidago sp.,Nahrung (Samen),,Glutz von Blotzheim 2001
42,Pyrrhula pyrrhula,Sonchus sp.,Nahrung für Adulte und Nestlinge (Samen),,Glutz von Blotzheim 2001
43,Pyrrhula pyrrhula,Sorbus aria,Nahrung (Samen),wichtige Winternahrung,
44,Pyrrhula pyrrhula,Sorbus aucuparia,Nahrung (Samen),wichtige Winternahrung,
45,Pyrrhula pyrrhula,Stellaria media,"Nahrung für Adulte und Nestlinge (Samen, Pflanzenteile)",,Glutz von Blotzheim 2001
46,Pyrrhula pyrrhula,Taraxacum officinale,"Nahrung für Adulte und Nestlinge (Samen, Blüten-, Pflanzenteile)",,Glutz von Blotzheim 2001
47,Pyrrhula pyrrhula,Tussilago farfara,Nahrung für Adulte und Nestlinge (Samen),,Glutz von Blotzheim 2001
48,Pyrrhula pyrrhula,Ulmus glabra,Nahrung (Samen),,
49,Pyrrhula pyrrhula,Ulmus laevis,Nahrung (Samen; Knospen),"Die Flatter-Ulme ist weniger anfällig gegenüber Pilz, der Ulmensterben verusacht",
50,Pyrrhula pyrrhula,Urtica sp.,Nahrung (Samen),,Glutz von Blotzheim 2001
51,Pyrrhula pyrrhula,Viburnum opulus,Nahrung (Samen),,
52,Pyrrhula pyrrhula,Viola sp.,Nahrung für Adulte und Nestlinge (Samen),,Glutz von Blotzheim 2001
53,Pyrrhula pyrrhula,Vitis vinifera,Schutzgehölz,,
