id,primary_sort,secondary_sort,level1_category,level2_category,level1_category_display_name,level2_category_display_name,field_name,display_name,description,explanation,has_sources,slug
,3,3,brief_characteristics,distribution_map,Kurzcharakteristik,Verbreitungskarte,distribution,Verbreitung,Karte der Verbreitung. Ideal: IUCN,,True,kurzcharakteristik_verbreitungskarte_verbreitung
,6,6,brief_characteristics,brief_description,Kurzcharakteristik,Kurzbeschreibung,species_main_trait,Hauptmerkmal Art,Charakterisierung der Art in 2-3 Kurzsätzen,,True,kurzcharakteristik_kurzbeschreibung_hauptmerkmal_art
,7,7,brief_characteristics,appearance_and_body_structure,Kurzcharakteristik,Aussehen und Körperbau,appearance,Aussehen,1-2 Kurzsätze zum Aussehen,,True,kurzcharakteristik_aussehen_und_koerperbau_aussehen
,8,8,brief_characteristics,appearance_and_body_structure,Kurzcharakteristik,Aussehen und Körperbau,morphology,Morphologie,1-2 Kurzsätze zur Größe und morphologischen Eigenheiten,,True,kurzcharakteristik_aussehen_und_koerperbau_morphologie
,9,10,brief_characteristics,habitat_and_space_requirements,Kurzcharakteristik,Habitat und Raumansprüche,habitat,Habitat,"1-2 Kurzsätze  zum Habitat, in dem die Art vorkommt und wie sie lebt",,True,kurzcharakteristik_habitat_und_raumansprueche_habitat
,10,11,brief_characteristics,habitat_and_space_requirements,Kurzcharakteristik,Habitat und Raumansprüche,habitat_special_conditions,Habitatbesonderheiten,"1-2 Kurzsätze zu Besonderheiten des Habitats, wenn nicht schon oben erwähnt",,True,kurzcharakteristik_habitat_und_raumansprueche_habitatbesonderheiten
,11,12,brief_characteristics,distribution,Kurzcharakteristik,Verbreitung,general_distribution,Verbreitung allgemein,1-2 Kurssätze zur Verbreitung in weltweit,"Von W nach O, von N nach S, nur für Europa genauer angeben (in welchen Ländern an- bzw. abwesend?)",True,kurzcharakteristik_verbreitung_verbreitung_allgemein
,12,13,brief_characteristics,distribution,Kurzcharakteristik,Verbreitung,distribution_germany,Verbreitung Deutschland,1-4 Kurssätze zur Verbreitung in Deutschland,"Wo in Deutschland häufiger, seltener?",True,kurzcharakteristik_verbreitung_verbreitung_deutschland
,13,14,brief_characteristics,distribution,Kurzcharakteristik,Verbreitung,frequency,Häufigkeit,1-2 Kurzsätze zur Häufigkeit,Selten oder sehr verbreitet oder lokal häufig usw.,True,kurzcharakteristik_verbreitung_haeufigkeit
,14,16,brief_characteristics,life_cycle,Kurzcharakteristik,Lebenszyklus,mating_display,Balz und Paarung,1-4 Kurzsätze zu Balz und Paarung,"Nur wichtige Informationen, auch hinsichtlich der kritischen Standortfaktoren. Auch Informationen zur Ankunft im Brutgebiet",True,kurzcharakteristik_lebenszyklus_balz_und_paarung
,15,20,brief_characteristics,life_cycle,Kurzcharakteristik,Lebenszyklus,breeding_and_care,Brut und Aufzucht,1-4 Kurzsätze  zu Brut und Aufzucht (auch Neststandort),"Nur wichtige Informationen, auch hinsichtlich der kritischen Standortfaktoren",True,kurzcharakteristik_lebenszyklus_brut_und_aufzucht
,16,24,brief_characteristics,life_cycle,Kurzcharakteristik,Lebenszyklus,juveniles,Jungtiere,1-4 Kurzsätze zu Jungtieren inkl. Verhalten,"Nur wichtige Informationen, auch hinsichtlich der kritischen Standortfaktoren",True,kurzcharakteristik_lebenszyklus_jungtiere
,17,35,brief_characteristics,life_cycle,Kurzcharakteristik,Lebenszyklus,adults,Adulte,1-4 Kurzsätze zu Adulten inkl. Verhalten,"Nur wichtige Informationen, auch hinsichtlich der kritischen Standortfaktoren",True,kurzcharakteristik_lebenszyklus_adulte
,18,40,brief_characteristics,life_cycle,Kurzcharakteristik,Lebenszyklus,hibernation,Überwinterung,1 Satz zur Überwinterung,"Nur wichtige Informationen, auch hinsichtlich der kritischen Standortfaktoren",True,kurzcharakteristik_lebenszyklus_uberwinterung
,19,37,brief_characteristics,life_cycle,Kurzcharakteristik,Lebenszyklus,age,Alter,Kurzaussage zur Langlebigkeit,,True,kurzcharakteristik_lebenszyklus_alter
,20,43,brief_characteristics,,Kurzcharakteristik,,life_cycle,Lebenszyklus,Grafik Lebenszyklus,,True,kurzcharakteristik_lebenszyklus
,21,27,brief_characteristics,predators,Kurzcharakteristik,Feinde ,natural_predators,Natürliche Gegenspieler,"1-3 Kurzsätze zu Freßfeinden gegliedert nach Taxa (Insekten, Fische, Vögel etc.) oder nach Lebenszyklus (Larve, adult)",,True,kurzcharakteristik_feinde_natuerliche_gegenspieler
,22,28,brief_characteristics,endangerment_and_legal_status,Kurzcharakteristik,Gefährdung und rechtlicher Status,endangerment,Gefährdung,1-2 Kurzsätze zu menschengemachten Gefährdungen für die Art,,True,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_gefaehrdung
,23,44,brief_characteristics,endangerment_and_legal_status,Kurzcharakteristik,Gefährdung und rechtlicher Status,population_trend,Populationstrend,1-2 Kurzsätze zu Zu- oder Abnahme der Art inkl. Ausbreitung,,True,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_populationstrend
,24,45,brief_characteristics,endangerment_and_legal_status,Kurzcharakteristik,Gefährdung und rechtlicher Status,red_list_status,Gefährdungseinschätzung Rote Liste,Offizieller Rote-Liste Status,,True,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_gefaehrdungseinschaetzung_rote_liste
,25,46,brief_characteristics,endangerment_and_legal_status,Kurzcharakteristik,Gefährdung und rechtlicher Status,legal_status,Rechtlicher Status,Schutz nach BNatSchG,,True,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_rechtlicher_status
