species,phase_key,label_de,ring_order,segment_order,color_hex,start_tick,end_tick,wraps_year,tick_count,source_image_url,source_sha256,extraction_status
Passer domesticus,adult,Adult,1,1,#F5C76D,0,180,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Haussperling-1.png,702072753221e91fae1cc07acd0c56de6c0a2979918e85c0858c5fa135dc7c84,reviewed
Passer domesticus,breeding,Brutzeit,2,1,#6EB089,45,120,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Haussperling-1.png,702072753221e91fae1cc07acd0c56de6c0a2979918e85c0858c5fa135dc7c84,reviewed
Passer domesticus,courtship,Balz & Paarung,3,1,#A6CAB7,30,113,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Haussperling-1.png,702072753221e91fae1cc07acd0c56de6c0a2979918e85c0858c5fa135dc7c84,reviewed
Plebejus idas,adult,Adult,1,1,#F5C76D,75,120,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Idas_Blaeuling-1.png,7c57d9f6363f02920b862f421e8fcb46e13a4130819ee0d67c245bb0e522cbe8,reviewed
Plebejus idas,pupa,Puppe,2,1,#F2E10F,75,105,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Idas_Blaeuling-1.png,7c57d9f6363f02920b862f421e8fcb46e13a4130819ee0d67c245bb0e522cbe8,reviewed
Plebejus idas,caterpillar,Raupe,3,1,#FFBC0F,60,97,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Idas_Blaeuling-1.png,7c57d9f6363f02920b862f421e8fcb46e13a4130819ee0d67c245bb0e522cbe8,reviewed
Plebejus idas,egg,Ei,4,1,#6EB089,90,75,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Idas_Blaeuling-1.png,7c57d9f6363f02920b862f421e8fcb46e13a4130819ee0d67c245bb0e522cbe8,reviewed
Plebejus idas,courtship,Balz & Paarung,5,1,#A6CAB7,82,120,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Idas_Blaeuling-1.png,7c57d9f6363f02920b862f421e8fcb46e13a4130819ee0d67c245bb0e522cbe8,reviewed
Apus apus,overwintering,Überwinterung,1,1,#7DBDC7,99,60,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Mauersegler-1.png,cfce8d0cf3323a2bcfded3ed744f78211ebf346391f1bafdddbdaa2f90d235a3,reviewed
Apus apus,adult,Adult,2,1,#F5C76D,52,121,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Mauersegler-1.png,cfce8d0cf3323a2bcfded3ed744f78211ebf346391f1bafdddbdaa2f90d235a3,reviewed
Apus apus,breeding,Brut & Aufzucht,3,1,#6EB089,60,113,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Mauersegler-1.png,cfce8d0cf3323a2bcfded3ed744f78211ebf346391f1bafdddbdaa2f90d235a3,reviewed
Apus apus,courtship,Balz & Paarung,4,1,#A6CAB7,53,75,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Mauersegler-1.png,cfce8d0cf3323a2bcfded3ed744f78211ebf346391f1bafdddbdaa2f90d235a3,reviewed
Papilio machaon,overwintering_pupa,Überwinterung Puppe,1,1,#7DBDC7,112,67,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Schwalbenschwanz-1.png,a72b72404155d18eaec05b0418e1571f07db27936a3de33bf183131c16dbe488,reviewed
Papilio machaon,adult_generations,Adult (2–3 Generationen),2,1,#F5C76D,52,90,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Schwalbenschwanz-1.png,a72b72404155d18eaec05b0418e1571f07db27936a3de33bf183131c16dbe488,reviewed
Papilio machaon,adult_generations,Adult (2–3 Generationen),2,2,#F5C76D,98,135,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Schwalbenschwanz-1.png,a72b72404155d18eaec05b0418e1571f07db27936a3de33bf183131c16dbe488,reviewed
Papilio machaon,pupa,Puppe,3,1,#F2E10F,126,67,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Schwalbenschwanz-1.png,a72b72404155d18eaec05b0418e1571f07db27936a3de33bf183131c16dbe488,reviewed
Papilio machaon,pupa,Puppe,3,2,#F2E10F,90,112,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Schwalbenschwanz-1.png,a72b72404155d18eaec05b0418e1571f07db27936a3de33bf183131c16dbe488,reviewed
Papilio machaon,caterpillar,Raupe,4,1,#FFBC0F,75,105,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Schwalbenschwanz-1.png,a72b72404155d18eaec05b0418e1571f07db27936a3de33bf183131c16dbe488,reviewed
