id,attribute_value,sources,species,attribute_slug
,https://www.iucnredlist.org/species/157288/49644624,,Lacerta agilis,kurzcharakteristik_verbreitungskarte_verbreitung
,Typische Bewohner von Grenz- und Übergangsbereichen (Name!). Sie sind extrem ortstreu und verbringen meist ihr ganzes Leben am selben Ort.,Blanke 2021,Lacerta agilis,kurzcharakteristik_kurzbeschreibung_hauptmerkmal_art
,"Mittelgroße, recht plump und gedrungen wirkende Echse mit kurzen und kräftigen Beinen, auffällig großem Kopf und stumpfer Schnauze.",Schulte 2013; Blanke et al. 2020,Lacerta agilis,kurzcharakteristik_aussehen_und_koerperbau_aussehen
,"Kopf-Rumpf-Länge ca. 9cm, Gesamtlänge max. 24cm; Gewicht: max 18,6 g. Die meisten Eidechsen bleiben jedoch deutlich kleiner",Schulte 2013,Lacerta agilis,kurzcharakteristik_aussehen_und_koerperbau_morphologie
,"Besiedelt Dünengebiete, Heideflächen, Halbtrocken- und Trockenrasen, sonnenexponierte Böschungen aller Art (z.B. Straßenränder, Bahndämme, Flussdämme, Weinberge), Sand-/Kiesgruben, Kleingärten, Friedhöfe, Ruderal- und Brachflächen, Militär-Übungsplätze, Flusssschotterheiden und alpine Lebensräume.",Zahn & Hansbauer 2019; Blanke et al. 2020,Lacerta agilis,kurzcharakteristik_habitat_und_raumansprueche_habitat
,"Benötigt kleinräumig gegliedertes Mosaik aus offenen, strukturreichen Flächen mit vegetationsfreien, krautigen und strauchigen Bereichen. Strukturelle ""Vielfalt"" wichtiger, als z.B. bestimmte Deckungsgrade der Vegetation, Hangneigung, Exposition usw.",Zahn & Hansbauer 2019; Blanke et al. 2020,Lacerta agilis,kurzcharakteristik_habitat_und_raumansprueche_habitatbesonderheiten
,"Von Zentralfrankreich über Mittel- und Osteuropa bis zum Baikalsee. Nördlich bis Dänemark, in Sibirien bis ca. 60 Breitengrad, südlilch bis etwa eine Linie Pyrenäen-Nordalpen-Nordgriechenland-Kaukausus-Krim. In Zentral und Nord-Asien unregelmäßig durch die Nordhälfte Kasachstans bis nach Nordwest China und den Südwesten der Mongolei. In Schweden, England und Wales nur vereinzelte Populationen, in Finnland nur im äußersten Südwesten, im Baltikum nur im Osten verbreitet. ",Aghasyan et al. 2021; ,Lacerta agilis,kurzcharakteristik_verbreitung_verbreitung_allgemein
,"In Deutschland flächig verbreitet und in allen Bundesländern anzufinden. Im Norden (Nordwestdeutsche Tiefebene: Rheinland-Pfalz, Nordrhein-Westfalen, Niedersachsen, Schleswig-Holstein) eher lückenhafte Verbreitung. Hier werden vor allem wärmebegünstige Standorte besiedelt. Nach Wüden hin werden die besiedelten Lebensräume deutlich vielfältiger. In Süddeutschland mehr oder weniger geschlossene Verbreitung. Höchste Bestandsdichten im Südwesten (Baden-Württemberg, Hessen) und im Osten (Sandergebiete, Lausitz, Leipziger Raum, Vorberge des Thüringer Waldes). In den höheren Lagen der Mittelgebirge und in den bayerischen Alpen bis ca. 1700 m Vorkommen in geringen Dichten.",Zahn & Hansbauer 2019; Blanke 2021; DGHT 2018,Lacerta agilis,kurzcharakteristik_verbreitung_verbreitung_deutschland
,"In Deutschland häufig, In Bayern mäßig häufig. Vor allem in wärmebegünstigten Regionen in höheren Dichten.",RL Gremium 2020; BfN 2019,Lacerta agilis,kurzcharakteristik_verbreitung_haeufigkeit
,"Zauneidechsen sind sehr standorttreu und verbringen meist ihr ganzes Leben auf einem eng begrenzten Gebiet, welches nicht gegenüber Artgenossen verteidigt wird. Der Aktionsradius beträgt max. 10-20 m. Gleich große Männchen gehen sich aus dem Weg, wohingegen sich die Aktionsräume von Weibchen bzw. kleineren Männchen häufig überschneiden. Die Paarung findet zwischen Mitte/Ende April und Mitte Mai (Juni) statt.",Zahn & Hansbauer2019; Blanke 2021; Laufer 2014,Lacerta agilis,kurzcharakteristik_lebenszyklus_balz_und_paarung
