id,attribute_value,sources,species,attribute_slug
,https://www.iucnredlist.org/species/22725022/166429742,https://www.iucnredlist.org/,Picus viridis,kurzcharakteristik_verbreitungskarte_verbreitung
,"Der Grünspecht fällt vor allem durch sein lauten 'lachenden' Rufe auf, die im Frühjahr sehr häufig zu hören sind. Er ist ein ausgesprochener Nahrungspezialist und ernährt sich fast ausschließlich von Ameisen.",Glutz von Blotzheim 2001,Picus viridis,kurzcharakteristik_kurzbeschreibung_hauptmerkmal_art
,"Die Oberseite ist dunkelgrün mit gelb-grünem Bürzel, die Unterseite ist blass hell- bis graugrün gefärbt. Kopf mit rotem Scheitel und schwarzer Maske um die Augen.",Glutz von Blotzheim 2001; Svensson et al. 1999,Picus viridis,kurzcharakteristik_aussehen_und_koerperbau_aussehen
,"Größe: 30-36 cm; Flügelspannweite: 45-51cm; Gewicht: 150 - 220g; Besitzt unter Spechten die längste Zunge (10-11cm). Diese ist klebrig und endet in einer verhornten Spitze mit Widerhaken und ist somit perfekt geeignet, um Ameisen aus deren Bau zu angeln.",Svensson et al. 1999,Picus viridis,kurzcharakteristik_aussehen_und_koerperbau_morphologie
,"Aufgelockerte, reichstrukturiere, offene und halboffene Landschaften mit Altbaumbestand, z.B. Parks, Gärten, Randzonen lockerer Laub-, Misch-, Auen- und Erlenbruchwälder und Streuobstwiesen (mit Hochstamm-Obstbäumen).",Bauer et al. 2005; Blume 1996,Picus viridis,kurzcharakteristik_habitat_und_raumansprueche_habitat
,"Benötigt zum Brüten und Schlafen eine ausreichende Anzahl an Baumhöhlen. Für die ausschließlich am Boden stattfindende Nahrungssuche benötigt er lockere Böden ohne oder mit wenig Vegetation, z.B. Rasenflächen, Magerrasen, Wiesen, Weiden, Wegränder oder Ruderalflächen.",Bauer et al. 2005,Picus viridis,kurzcharakteristik_habitat_und_raumansprueche_habitatbesonderheiten
,"In fast ganz Europa verbreitet. Von Westeuropa (mit Ausnahme von Irland) bis in die östlichen Teile des europäischen Russlands. Von Südskandinavien bis Südfrankreich, Italien, Griechenland. Auch im Kaukasus, in Bergregionen der Türkei und des nördlichen Iran und Irak verbreitet. ",Bauer et al. 2005,Picus viridis,kurzcharakteristik_verbreitung_verbreitung_allgemein
,"Kommt im Norden Deutschlands nur in sehr geringen Dichten vor. Höchste Siedlungdichten im Westen Deutschlands. Besiedelt Tiefland- und subalpine Lagen bis ca. 1200m Höhe (in Einzelfällen bis 2700m), in Mittelgebirgen selten über 400m Höhe.",Gedeon et al. 2014,Picus viridis,kurzcharakteristik_verbreitung_verbreitung_deutschland
,Seltener Brutvogel in geeigneten Lebensräumen in weiten Teilen Deutschlands. In Deutschland zweithäufigste Spechtart (nach Buntspecht). Anzahl Brutvögel (2011-2016): 51.000-92.000,Barthel & Krüger 2018; Gerlach et al. 2019,Picus viridis,kurzcharakteristik_verbreitung_haeufigkeit
,"Grünspechte sind sehr standorttreu, verbleiben das ganze Jahr über im Brutgebiet und bleiben diesem in der Regel ihr Leben lang treu. Sie führen eine monogame Saisonehe. Außerhalb der Brutzeit sind sie Einzelgänger. Die Brutreviergröße beträgt ca. 3,2 - 5.3 km2. Der geringste nachgewiesene Abstand zwischen den Brutbäumen benachbarter Paare lag bei 500m. Die Siedlungsdichte im Stadtgebiet und in Parkanlagen liegt bei ca. 0.07-0.16 Brutpaaren /10ha, in Laubmischwäldern bei 0.6 - 1.2 BP/10ha.",Bauer et al. 2005; Glutz von Blotzheim 2001,Picus viridis,kurzcharakteristik_lebenszyklus_balz_und_paarung
,"Brütet in selbstgezimmerten Höhlen in 2-10m Höhe, in dicken, hochstämmigen (alten) Bäumen, deren niedrigster Ast in einer Höhe von ca. 1,60m liegt. Höhlenbau nur an weichen oder beschädigten Stellen von Bäumen (Astabbrüche), bevorzugt in Eichen, aber auch in anderen Laubbbäumen. Nisthilfen werden nicht angenommen, aber höher abgeschnittene Baumstämme und vertikales Totholz können als potentieller Brutplatz dienen. Bereits vorhandene Althöhlen werden jedoch gegenüber neugebauten Höhlen stark bevorzugt.",Bauer et al. 2005; Glutz von Blotzheim 2001,Picus viridis,kurzcharakteristik_lebenszyklus_brut_und_aufzucht
,Jungtiere ziehen in der Regel nicht weiter als 30-50km von ihrem Geburtsort weg. Sie erreichen die Geschlechtsreife im 1. Lebensjahr. ,Blume 1996; Glutz von Blotzheim 2001,Picus viridis,kurzcharakteristik_lebenszyklus_jungtiere
,"Die Nahrungsuche findet hauptsächlich am Boden statt. Hackt bei der Nahrungssuche trichterförmige Löcher in den Boden, um unterirdische Ameisennester und -gänge aufzuspüren. Können sich im Boden versteckte Ameisennester merken und auch im Winter unter einer geschlossenen Schneedecke gezielt wieder auffinden.
Besetzen getrennte Brut- und Schlafhöhlen. Schlafhöhlen werden das ganze Jahr über genutzt. Badet sehr gerne und viel. Dafür benötigt er seichte Pfützen oder andere seichte Wasserstellen.",Bauer et al. 2005: Blume 1996; Seifert 2008,Picus viridis,kurzcharakteristik_lebenszyklus_adulte
,"Verbleiben auch im Winter über im oder in der Nähe ihrer Brutgebietes (im Umkreis von 20km), entfernen sich aber nur selten mehr als 5km von ihrer Schlafhöhle.",Bauer et al. 2005; Glutz von Blotzheim 2001,Picus viridis,kurzcharakteristik_lebenszyklus_uberwinterung
,Durchschnittliche Lebenserwartung: 2-4 Jahre; Höchstalter: 5 Jahre,Blume 1996; Glutz von Blotzheim 2001,Picus viridis,kurzcharakteristik_lebenszyklus_alter
,URL einfügen,,Picus viridis,kurzcharakteristik_lebenszyklus
,"Nesträuber: durch den Aufbau der Bruthöhlen gelangen Nesträuber in der Regel nicht zum Gelege oder zur Brut. Selten Baum- und Steinmarder, Eichhörnchen, Waschbären
Greifvögel: Habicht und Sperber. Diese erbeuten vor allem Jungvögel, zur Brutzeit auch Adulte
Bodenjäger: Füchse erbeuten gelegentlich auf dem Boden nach Nahrung suchende Grünspechte",,Picus viridis,kurzcharakteristik_feinde_natuerliche_gegenspieler
,"Kollison mit Autos an verkehrareichen Straßen. Entzug der Nahrungsgrundlage (Ameisen), z.B. durch Eutrophierung, zu häufige oder ausbleibende Mahd von Wiesen, Umwandlung von Grün- in Ackerland, Biozideinsatz, Verlust von Randstrukturen und Flächenversiegelung. Lebensraumverlust, z.B. durch Ausräumung der Landschaft und intensive Waldwirtschaft.",Bauer et al. 2005,Picus viridis,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_gefaehrdung
,Bestandstrend (seit 1980): zunehmend. Zunahme des Bestandes zwischen 1991 und 2011 um 105%. Der Grünspecht weist somit die deutlichste Zunahme unter allen häufigen Vogelarten Deutschlands auf. ,Gerlach et al. 2019; Sudfeld et al. 2013,Picus viridis,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_populationstrend
,RL D 2021: ungefährdet; RL BY 2016: ungefährdet,Ryslavy et al. 2020; Rudolph et al. 2016; DDA 2022,Picus viridis,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_gefaehrdungseinschaetzung_rote_liste
,„besonders geschützt“ als wildlebende einheimische Vogelart,BNatSchG §44 ,Picus viridis,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_rechtlicher_status
,"Verlagerung des Verbreitungsgebietes von Süden nach Norden. Voraussichtliche Bestandszunahme und Besiedelung neuer Flächen, aufgrund verbesserter Lebens- und Aufzuchtbedingungen und geringerer Winterverluste (mildere, schneeärmere Winter) durch eine Zunahme der Hauptnahrung (Ameisen).",Handke 2010; Huntley et al. 2007,Picus viridis,kurzcharakteristik_einfluss_des_klimawandels_einfluss_des_klimawandels
,"Während Brutzeit häufig charakteristische, weiche, aneinandergereihte 'Klüh-klüh-klü...-'-Rufe zu hören, die an ein Lachen erinnern. Trommelt und klopft nur sehr selten. Bei der Nahrungssuche am Boden, z.B. auf Rasenflächen, gut zu beobachten.",Bauer et al. 2005,Picus viridis,bedeutung_fuer_den_menschen_wahrnehmung_wahrnehmung
,"In naturnahen Gärten, in denen auch Ameisen geduldet werden, steigt die Wahrscheinlichkeit einen Grünspecht bei der Nahrungssuche beobachten zu können.",,Picus viridis,bedeutung_fuer_den_menschen_wahrnehmung_erhoehung_des_naturerlebens
,"Natürliche Bekämpfung von Ameisen. Ein Grünspecht frisst durchschnittlich 2000 Ameisen pro Tag, z.T auch bis zu 5000.",Seifert 2008,Picus viridis,bedeutung_fuer_den_menschen_nutzen_und_konflikte_nutzen
,Gefährdung durch Vogelschlag an großen Fensterfronten. Bekämpfung von Ameisen im Wohnumfeld und starke Versiegelung führen zu Nahrungsmangel. Fällen von höhlenreichen Altbäumen (z.B. auf Grund von Verkehrsicherungspflicht)  führt zu einer mangelnden Verfügbarkeit von Bruthöhlen.,Bauer et al. 2005,Picus viridis,bedeutung_fuer_den_menschen_nutzen_und_konflikte_konflikte
,keine besonderen Bedürfnisse,,Picus viridis,kritische_standortfaktoren_nach_lebensphasen_balz_und_paarung_balz
,Begattung erfolgt meist in unmittelbarer Nähe zur Bruthöhle auf einm Ast.,Glutz von Blotzheim 2001,Picus viridis,kritische_standortfaktoren_nach_lebensphasen_balz_und_paarung_paarung
,"Geeignete Bäume für Brut- und Schlafhöhlen sind Weichhölzer wie Weide, Espe und Pappel, aber auch alte Buchen und Eichen mit Schadstellen, morsche Birken und Hochstamm-Obstbäume. Darüber hinaus auch Linde, Bergahorn, Grauerle, Robinie, Vogelkirsche und gelegentlich Weißtanne, Echte Walnuß, Roß- und Edelkastanie. Der Höhlenbaum sollte nicht einzeln, sondern in einer Gruppe von mind. 3-4 Bäumen stehen, da der Grünspecht die Höhle in der Regel nicht direkt anfliegt, sondern verschiedene Zwischenstationen (z.B. herausragende Äste, oder Baumwipfel benachbarter Bäume) nutzt. Bevorzugt werden Bäume in Muldenlage mit Höhleneingang unter einem großen Seitenast. ",Dörrie 2013; Blume 1996; Keicher 2007,Picus viridis,kritische_standortfaktoren_nach_lebensphasen_brut_und_aufzucht_brut
,"Jungvögel werden ausschließlich mit Ameisen und deren Puppen gefüttert. Zur Nahrungssuche benötigt der Grünspecht daher ameisenreiche Gebiete, z.B. Ruderalflächen, Sandflächen, vegetationslose- oder arme Bodenflächen, Rasen, Trockenrasen, Blühwiesen. Der Ameisenbestand kann u.a. durch Reduzierung der Wiesenmahd (2-3 mal im Jahr), Vermeidung von Düngung und Pestizideinsatz gefördert werden.",Bauer et al. 2005; Glutz von Blotzheim 2001,Picus viridis,kritische_standortfaktoren_nach_lebensphasen_brut_und_aufzucht_aufzucht
,,,Picus viridis,kritische_standortfaktoren_nach_lebensphasen_jungtiere_habitatanforderungen
,,,Picus viridis,kritische_standortfaktoren_nach_lebensphasen_jungtiere_nahrung
,,,Picus viridis,kritische_standortfaktoren_nach_lebensphasen_jungtiere_fressfeinde_gefaehrdungen
,,,Picus viridis,kritische_standortfaktoren_nach_lebensphasen_adulte_habitatanforderungen
,"Ganzjährig stark auf Ameisen spezialisiert. Diese stellen ca. 90% der Beute. im Sommer hauptsächlich Lasius-Arten, im Winter Formica-Arten. Die Ameisennahrung wird mit anderen Arthropoden, wie Bienen, Wespenlarven, Käfern, Maulwurfsgrillen und Wanzen ergänzt. Seltener werden auch Beeren, Samen, Obst, Regenwürmer und Schnecken gefressen.",Bauer et al. 2005; Blume 1996; Seifert 2008,Picus viridis,kritische_standortfaktoren_nach_lebensphasen_adulte_nahrung
,,,Picus viridis,kritische_standortfaktoren_nach_lebensphasen_adulte_fressfeinde_gefaehrdungen
,"Der Grünspecht ist ein Standvogel, d.h. er bleibt das gesamte Jahr im Revier und überwintert dort als Adultvogel. Zum Schlafen werden diesselben Schlafhöhlen, wie zur Brutzeit genutzt.",Glutz von Blotzheim 2001; ,Picus viridis,kritische_standortfaktoren_nach_lebensphasen_uberwinterung_uberwinterung
,"Die Geschlechter sind nur anhand der Farbe des Bartstreifens zu unterscheiden. Dieser ist bereits bei Jungvögeln beim Weibchen schwarz, beim Männchen rot mit schwarzem Saum. Die Unterschwanzdecken und Außenfahnen der Schwingen sind hellgrün bis gelblich gebändert. Der Schnabel ist grau bis gelblich und weist im Oberschnabel eine leichte Krümmung auf. Die Füße sind schmutzig grau mit olivfarbener oder bräunlicher Färbung. Die Augen sind weiß-bläulich. Jungvögel mit ähnlicher Gefiedergrundfärbung, jedoch ist die schwarze Gesichtsmaske noch unvollständig und der gesamte Körper kräftig schwarz gestrichelt und gefleckt. Beim Flug in stark bogenförmigen Bahnen ist die grüne Oberseite mit dem gelben Bürzelbereich meist gut erkennbar. Der Grünspecht ähnelt dem Grauspecht. Letzterer weist jedoch nur einen kleinen roten Stirnfleck auf grauem Kopf auf. Wie bei allen Echten Spechten besitzt der Grünspecht auf das Klettern an senkrechten Baumstämmen spezialisierte kräftige Füße mit beweglichen Zehen (meist zwei nach hinten gerichtet) und scharfen Krallen. Die Schwanzfedern sind sehr steif und stützen den Specht zusätzlich beim Klettern. Der Schnabel ist lang und kräfig (meißelförmig).",Bezzel 2013; Blume 1996; Glutz von Blotzheim 2001 Svensson et al. 1999,Picus viridis,weitere_informationen_aussehen_und_koerperbau_aussehen_und_koerperbau
,"Geringste Siedlungsdichten im Norden (Niedersachsen, Schleswig-Hohlstein, Mecklenburg-Vorpommern), Osten (Sachen-Anhalt, Sachsen, Berlin, Brandenburg) und im Südosten (Bayern). Höchste Siedlungsdichten in Nordrhein-Westfalen, Hessen, Nord Baden-Württemberg und Teilen der Rheinland-Pfalz.",Gedeon et al. 2014,Picus viridis,weitere_informationen_verbreitung_habitat_und_raumansprueche_habitat_habitatbesonderheiten
,"Der Grünspecht ernährt sich hauptsächlich von bodenbewohnenden Weg- und Waldameisen der Gattungen Lasius, Formica und Serviformica. Im Winter besteht seine Nahrung vor allem aus Formica-Arten, deren oberirische Nesthügel im Winter leichter zu finden und leichter zugänglich sind (F. rufa, F. polyctena, F. nigricans, F. cordieri). Im Sommer wenn die Ameisen wieder aktiver werden, werden giftspritzende Arten weitgehend gemieden. Dann ernährt sich der Grünspecht vor allem von den kleineren Lasius-Arten (L. niger und L. flavus). Deutlich seltener gefressen werden die wenig Gift spritzenden Arten (Serviformica rufibarbis, Camponotus herculeanus, C. pubescens, C. vagus, Lasius alienus, L. fuliginosus, Myrmica laevinodis, M. rubida und M. scabrinodis). Im Winter werden regelmäßig Schlupfwinkel von Fliegen (Calliphoridae, Scatopsidae, Milichidae, Muscidae) und Mücken abgesucht. Andere Arthropoden (u.a.Bienen, Hummeln, Wepsenlarven, Käfer, Maulwurfsgrillen oder Wanzen), sowie Regenwürmer und Schnecken werden nur sehr selten gefressen. In Ausnahmefällen werden auch reife Kirschen, Birnen, Trauben, Äpfel und Früchte von Eberesche und Eibe aufgenommen.",Glutz von Blotzheim 2001,Picus viridis,weitere_informationen_nahrung_nahrung
