id,attribute_value,sources,species,attribute_slug
,siehe Verbreitungskarte GfS,https://www.ufz.de/european-butterflies/index.php?de=43003,Plebejus idas,kurzcharakteristik_verbreitungskarte_verbreitung
,Aufgrund seiner Vorliebe für Ginster auch Ginsterbläuling genannt. In München einzige Bläulingsart mit metallisch blauen Flecken auf Randbinde der Flügelunterseite.,www.deutschlands-natur.de,Plebejus idas,kurzcharakteristik_kurzbeschreibung_hauptmerkmal_art
,"Flügeloberseite kräftig metallisch blau glänzend, Hinterflügelunterseite mit orangenen und schwarzen Flecken mit metallisch glänzendem Kern. Dieser Silberfleck charakterisiert alle Arten der ""Silberfleck-Bläulinge"" die äußerlich sehr schwer zu unterscheiden sind.",www.deutschlands-natur.de,Plebejus idas,kurzcharakteristik_aussehen_und_koerperbau_aussehen
,Flügelspannweite: 19-27mm,www.deutschlands-natur.de,Plebejus idas,kurzcharakteristik_aussehen_und_koerperbau_morphologie
,"Trocken-warme Standorte, wie basische Magerrasen (Kalkgebiete) und saure Magerrasen (Heidegebiete, Dünen) , Schottergebiete und Ruderalflächen",www.deutschlands-natur.de; Pfeuffer 1998,Plebejus idas,kurzcharakteristik_habitat_und_raumansprueche_habitat
,"Gebunden an Standorte mit Vorkommen von Ameisen der Gattung Formica, mit deren Raupen er in enger Symbiose lebt. Die Ameisen benötigen trockene bis wechseltrockene Böden mit geringem bis nicht völlig geschlossenem Bewuchs.",BUND: Tagfalter in München,Plebejus idas,kurzcharakteristik_habitat_und_raumansprueche_habitatbesonderheiten
,"Von Europa über den Mittleren Osten bis Asien und Nordamerika weit verbreitet. In Spanien nur gebietsweise. Flächendeckend ab Frankreich westwärts bis Nordskandinavien, im Süden bis Mittelitalien und auf Balkan bis Nordgriechenland. Größere Verbreitungslücken in Nordostfrankreich, in den Benelux und Deutschland. Fehlt auf den Britischen Inseln.",www.wikipedia.de,Plebejus idas,kurzcharakteristik_verbreitung_verbreitung_allgemein
,"In Deutschland selten. Münchner Raum ein bayernweiter Verbreitungsschwerpunkt, nur dort noch relativ häufig anzutreffen. In Baden-Würtemberg nur noch 1 Population in der Umgebung von Karlsruhe, in Oberbayern sehr lokal auf Flussschotterhalden und nährstoffarmen Brachen im Alpenraum und Alpenvorland. In Sachsen auf Heideflächen im Flachland in Nordwestsachsen, im Elbtal und der Oberlausitz.",www.deutschlands-natur.de,Plebejus idas,kurzcharakteristik_verbreitung_verbreitung_deutschland
,Selten,,Plebejus idas,kurzcharakteristik_verbreitung_haeufigkeit
,"Männchen patrouillieren häufig in ihrem Revier, landen vor Paarung neben Weibchen und schlagen schnell mit den Flügeln.",www.deutschlands-natur.de,Plebejus idas,kurzcharakteristik_lebenszyklus_balz_und_paarung
,Eiablage einzeln an Raupennahrungspflanzen.,www.deutschlands-natur.de; Pfeuffer 1998,Plebejus idas,kurzcharakteristik_lebenszyklus_brut_und_aufzucht
,"Raupen schlüpfen im Frühjahr nach Überwinterung. Fressen v.a. an Leguminosen und Heidekrautgewächsen. Leben in enger Symbiose mit Ameisen und sind fast ständig von diesen umgeben. Scheiden aus einem speziellen Nektarorgan zuckerhaltiges Sekret als Nahrung für die Ameisen aus, die dafür die Raupen gegenüber Feinden verteidigen. Verpuppung findet direkt im Ameisennest oder an Pflanze in unmittelbarer Nähe statt. ",www.deutschlands-natur.de; BUND: Tagfalter Münchens; Pfeuffer 1998,Plebejus idas,kurzcharakteristik_lebenszyklus_jungtiere
,Falter beider Geschlechter saugen Nektar an Blüten. Männchen saugen auch oft an feuchten Stellen am Boden,www.deutschlands-natur.de,Plebejus idas,kurzcharakteristik_lebenszyklus_adulte
,Überwinterung als Ei.,www.deutschlands-natur.de,Plebejus idas,kurzcharakteristik_lebenszyklus_uberwinterung
,Falter leben 3-6 Wochen,,Plebejus idas,kurzcharakteristik_lebenszyklus_alter
,URL einfügen,,Plebejus idas,kurzcharakteristik_lebenszyklus
,"Vögel, Fledermäuse, Frösche, Igel, Laufkäfer,...",,Plebejus idas,kurzcharakteristik_feinde_natuerliche_gegenspieler
,Gefährdung durch Verbuschung von Brach- und Ruderalflächen und Aufforstung.,,Plebejus idas,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_gefaehrdung
,kurz- und langfristig starke Bestandsabnahme zu erwarten,,Plebejus idas,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_populationstrend
,RL D 2011: gefährdet; RL BY 2016: stark gefährdet,,Plebejus idas,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_gefaehrdungseinschaetzung_rote_liste
,besonders geschützt,,Plebejus idas,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_rechtlicher_status
,,,Plebejus idas,kurzcharakteristik_einfluss_des_klimawandels_einfluss_des_klimawandels
,"Männchen sehr flugaktiv, sonnen sich gerne mit geöffneten Flügeln, sitzen gerne auf Blättern von Sträuchern. Weibchen bei Nektarsuche in Kraut- und Grasschicht und beim Saugen auf Blüten zu beobachten",,Plebejus idas,bedeutung_fuer_den_menschen_wahrnehmung_wahrnehmung
,,,Plebejus idas,bedeutung_fuer_den_menschen_wahrnehmung_erhoehung_des_naturerlebens
,Positives Naturerlebnis beim Beobachten der hübschen Falter,,Plebejus idas,bedeutung_fuer_den_menschen_nutzen_und_konflikte_nutzen
,Die Raupen und Puppen leben eng mit Ameisen zusammen. Die Bekämpfung von Ameisen entzieht dem Idas-Bläuling daher die Lebensgrundlage.,,Plebejus idas,bedeutung_fuer_den_menschen_nutzen_und_konflikte_konflikte
,Balz findet meist in niedriger Vegetation oder auf kiesigem/sandigen Rohbodenflächen statt.,Pfeuffer 1998,Plebejus idas,kritische_standortfaktoren_nach_lebensphasen_balz_und_paarung_balz
,,,Plebejus idas,kritische_standortfaktoren_nach_lebensphasen_balz_und_paarung_paarung
,Eier werden einzeln an Raupennahrungspflanzen in der Nähe von Ameisennestern abgelegt. ,www.deutschlands-natur.de; Pfeuffer 1998,Plebejus idas,kritische_standortfaktoren_nach_lebensphasen_brut_und_aufzucht_brut
,,,Plebejus idas,kritische_standortfaktoren_nach_lebensphasen_brut_und_aufzucht_aufzucht
,"Die Raupen sind auf die Anwesenheit von Ameisen angewiesen (myrmekophil). Daher benötigen Idas-Bläulinge Bereiche, in denen Ameisen gedultet werden.",www.deutschlands-natur.de; Pfeuffer 1998,Plebejus idas,kritische_standortfaktoren_nach_lebensphasen_jungtiere_habitatanforderungen
,"Raupen wenig spezialisiert. Fressen an einer Vielzahl Pflanzen, bevorzugt an Leguminosen und Heidekrautgewächsen.",www.deutschlands-natur.de,Plebejus idas,kritische_standortfaktoren_nach_lebensphasen_jungtiere_nahrung
,"Mahd frühestens ab Anfang August, um Raupen und Raupenfutterpflanzen nicht zu gefährden.",,Plebejus idas,kritische_standortfaktoren_nach_lebensphasen_jungtiere_fressfeinde_gefaehrdungen
,Trockene Magerrasen und Ruderalflächen,,Plebejus idas,kritische_standortfaktoren_nach_lebensphasen_adulte_habitatanforderungen
,"Falter wenig spezialisiert, saugen Nektar an einer Vielzahl von Blüten. Dafür benötigen sie blühende Kräuter- und Stauden in ausreichender Zahl.",,Plebejus idas,kritische_standortfaktoren_nach_lebensphasen_adulte_nahrung
,,,Plebejus idas,kritische_standortfaktoren_nach_lebensphasen_adulte_fressfeinde_gefaehrdungen
,Überwinterung im Eistadium. Keine besonderen Maßnahmen notwendig.,,Plebejus idas,kritische_standortfaktoren_nach_lebensphasen_uberwinterung_uberwinterung
,"Die Flügeloberseite der Männchen ist kräftig metallisch blau glänzend mit einem schwarzen Band am Flügelrand. Die Flügel der Weibchen sind dunkelbraun, gelegentlich blau bestäubt. Am Flügelaußenrand der Hinterflügel verläuft ein orangenes Band. Die Flügelunterseite ist hell (bei Männchen hellgrau, bei Weibchen hellbraun) mit weißrandigen schwarzen Flecken. Am Rand verläuft ein gewelltes oranges Band  mit schwarzen Flecken. Auf diesen Flecken befinden sich an den Hinterflügeln metallischblau glänzende Flecken, die sog. ""Silberflecken"". Die meist grüne oder rotbraune Raupe ist samtartig behaart und hat einen schwarzen Kopf. Auf dem Rücken und an den Seiten verläuft ein dunkelbrauner bis roter Streifen mit hellem Saum.",www.deutschlands-natur.de,Plebejus idas,weitere_informationen_aussehen_und_koerperbau_aussehen_und_koerperbau
,,,Plebejus idas,weitere_informationen_verbreitung_habitat_und_raumansprueche_habitat_habitatbesonderheiten
,"Die Falter des Idas-Bläuling sind wenig spezialisiert und saugen Nektar an einer Vielzahl von Blüten. Die Raupen sind i.d.R. ebenfalls wenig spezialisiert und fressen an einer Vielzahl von Pflanzenarten, bevorzugen jedoch Leguminosen und Heidkrautgewächse. Eine Ausnahme bilden die Raupen der einzigen noch erhaltene Population in Baden-Württemberg, die sich sich ausschließlich von Besenginster Spartium scoparium ernähren.",www.deutschlands-natur.de,Plebejus idas,weitere_informationen_nahrung_nahrung
