id,attribute_value,sources,species,attribute_slug
,https://www.iucnredlist.org/api/v4/assessments/132141969/distribution_map/jpg,,Pyrrhula pyrrhula,kurzcharakteristik_verbreitungskarte_verbreitung
,"Singvogel aus der Familie der Finken mit gedrungener Gestalt und rundlicher Figur, mit kurzem Hals und dünnen Beinen.  Die Kopfplatte und das Kinn sind schwarz, ebenso wie der dicke Kegelschnabel. Aufgrund der kompakten Gestalt mit dem roten Gewand und der schwarzen Kappe, die an einen Domherren erinnert, auch Dompfaff genannt.",Glutz von Blotzheim (1998),Pyrrhula pyrrhula,kurzcharakteristik_kurzbeschreibung_hauptmerkmal_art
,"Ausgeprägter Geschlechtsdimorphismus. Die Männchen sind oberseits grau, unterseits leuchtend bis stumpf rot. Der weiße Bürzel ist im Flug gut zu erkennen. Die Weibchen haben einen bräunlichgrauen Rücken, unterseits sind sie hell-graubraun gefärbt.",Glutz von Blotzheim (1998); Schäffer (2012),Pyrrhula pyrrhula,kurzcharakteristik_aussehen_und_koerperbau_aussehen
,"Die Körperlänge beträgt 15-19 cm, das Körpergewicht 22-38 g, abhängig von der Jahreszeit. Die Flügelspannweite ist 22-29cm.",Fünfstück & Weiß (2018),Pyrrhula pyrrhula,kurzcharakteristik_aussehen_und_koerperbau_morphologie
,"Der Gimpel bevorzugt Nadelwald, lebt aber auch in lichten Mischwäldern. Im Siedlungsgebiet kommt er in Parkanlagen und großen Gärten, Steuobstwiesen und in Obstplantagen vor. Zur Zugzeit ist er in fast allen Habitaten zu finden.  ",Glutz von Blotzheim (1998); Fünfstück & Weiß (2018),Pyrrhula pyrrhula,kurzcharakteristik_habitat_und_raumansprueche_habitat
,Gut versteckte Neststandorte in Gebieten mit vielfältigem Samen- und Beerenangebot.,"Bauer, Bezzel, Fiedler (2012); Glutz von Blotzheim (1998)",Pyrrhula pyrrhula,kurzcharakteristik_habitat_und_raumansprueche_habitatbesonderheiten
,"Verbreitet in der borealen und gemäßigten Zone sowie in einigen Bergregionen der Paläarktis.  Von Westeuropa (Britische Inseln) bis Kamtschatka und Japan. Im Norden bis Nordnorwegen weiter bis zur südlichen Kolahalbinsel; in Russland bis Ostsibirien südlich des Polarkreises. Die Südgrenze in Europa wird durch Nordspanien, Südfrankreich, den Appenin,  die Balkanhalbinsel sowie Nordanatolien und den Kaukasus gebildet.","Glutz von Blotzheim (1998); Bauer, Bezzel & Fiedler (2012)",Pyrrhula pyrrhula,kurzcharakteristik_verbreitung_verbreitung_allgemein
,Er ist in Deutschland überall zu finden und flächig verbreitet als Brut-und Jahresvogel.,Fünfstück & Weiß (2018)   ,Pyrrhula pyrrhula,kurzcharakteristik_verbreitung_verbreitung_deutschland
,In Deutschland gibt es schätzungsweise 200.000- 450.000 Brutpaare,Fünfstück & Weiß (2018) ,Pyrrhula pyrrhula,kurzcharakteristik_verbreitung_haeufigkeit
,"Geschlechtsreife im ersten Lebensjahr. Paarbildung schon im Sommer oder Herbst möglich, meist jedoch im März/April des Folgejahres, vor der Reviergründung. Der Nistplatz wird gemeinsam gesucht. ","Bauer, Bezzel & Fiedler (2012)",Pyrrhula pyrrhula,kurzcharakteristik_lebenszyklus_balz_und_paarung
,"Das Nest befindet sich in dichtem Gebüsch, in jungen Koniferen oder in dichten Laubgehölzen, wo es sich gut verstecken lässt. Es wird meist in einer Höhe von unter 3 m gebaut, es gibt aber auch Nester in bis zu 14 m Höhe. Das Nest hat einen plattformartigen Unterbau. Das eigentliche Nest wird darauf aus feinen Grashalmen und Wurzeln geflochten. Der Brutbeginn ist frühestens Ende April. In der Regel hat der Gimpel zwei Jahresbruten, der Abstand zwischen Erst-und Zweitbrut beträgt etwa 3 Wochen. ","Bauer, Bezzel & Fiedler (2012)    ",Pyrrhula pyrrhula,kurzcharakteristik_lebenszyklus_brut_und_aufzucht
,"Die Jungvögel verlassen das Nest nach ca. 15-18 Tagen. Sie werden noch 15 -20 Tage außerhalb des Nestes weitergefüttert, bevor sie völlig selbstständig werden.","Bauer, Bezzel & Fiedler (2012)",Pyrrhula pyrrhula,kurzcharakteristik_lebenszyklus_jungtiere
,Die Vögel sind tagaktiv. Im Herbst ziehen die Vögel in Familienverbänden umher.,Glutz von Blotzheim (1998),Pyrrhula pyrrhula,kurzcharakteristik_lebenszyklus_adulte
,"In Europa sind die Männchen vorwiegend Standvögel, während Jungvögel und insbesondere Weibchen zum Teil auch kurze Strecken ziehen. Die Nahrung im Winter besteht aus Samen von Stauden und Kräutern.","Glutz von Blotzheim (1998); Bauer, Bezzel & Fiedler (2012)",Pyrrhula pyrrhula,kurzcharakteristik_lebenszyklus_uberwinterung
,Generationslänge etwa 3 Jahre. Maximal nachgewiesenes Alter: 17 Jahre.,"Bauer, Bezzel & Fiedler (2012)",Pyrrhula pyrrhula,kurzcharakteristik_lebenszyklus_alter
,URL einfügen,,Pyrrhula pyrrhula,kurzcharakteristik_lebenszyklus
,"Nesträuber: Eichhörnchen, Hermelin, Wiesel, Katzen, Marder.  Fressfeinde von erwachsenen Vögeln: Sperber, Falke, Katzen.",Glutz von Blotzheim (1998),Pyrrhula pyrrhula,kurzcharakteristik_feinde_natuerliche_gegenspieler
,"Verlust  von Brachflächen, Ackerrandstreifen, Feldgehölzen und Hecken und Wildkräutern in der Agrarlandschaft. ","Bauer, Bezzel & Fiedler (2012)",Pyrrhula pyrrhula,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_gefaehrdung
,Abnahme der Populationen im Nordwesten und Südwesten Mitteleuropas.,"Bauer, Bezzel & Fiedler (2012)",Pyrrhula pyrrhula,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_populationstrend
,Ungefährdet,Rote Liste D,Pyrrhula pyrrhula,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_gefaehrdungseinschaetzung_rote_liste
,Streng geschützt,BNatSchG,Pyrrhula pyrrhula,kurzcharakteristik_gefaehrdung_und_rechtlicher_status_rechtlicher_status
,Durch Zunahme der Starkregenereignisse könnte es möglicherweise zum erhöhtem Brutverlust kommen.,,Pyrrhula pyrrhula,kurzcharakteristik_einfluss_des_klimawandels_einfluss_des_klimawandels
,"Auffällig hübsch gefärbter Singvogel; laute, pfeifende Rufe; Gesang selten",Schäffer (2012),Pyrrhula pyrrhula,bedeutung_fuer_den_menschen_wahrnehmung_wahrnehmung
,"Beobachtung an Futterstellen (mit verschiedensten Sämereien),  Besuch von Brachflächen, um Gimpel bei der Nahrungsaufnahme zu beobachten.",Schäffer (2012); www.lbv.de,Pyrrhula pyrrhula,bedeutung_fuer_den_menschen_wahrnehmung_erhoehung_des_naturerlebens
,Farbenfroher Singvogel,,Pyrrhula pyrrhula,bedeutung_fuer_den_menschen_nutzen_und_konflikte_nutzen
,Eintönige Hecken aus Kirschlorbeer oder Thuja in Stadtgärten sind ungeeignet als Brutplatz. Der Verlust von Winterbrachen führt zu Nahrungsmangel im Winter. ,"Bauer, Bezzel & Fiedler (2012); www.lbv.de",Pyrrhula pyrrhula,bedeutung_fuer_den_menschen_nutzen_und_konflikte_konflikte
,"Findet in dem Gebiet statt, wo auch der Neststandort liegt.",Glutz von Blotzheim (1998); ,Pyrrhula pyrrhula,kritische_standortfaktoren_nach_lebensphasen_balz_und_paarung_balz
,Anlage von dichten Hecken zusammen mit Nadelbäumen als Brutplatz.,,Pyrrhula pyrrhula,kritische_standortfaktoren_nach_lebensphasen_balz_und_paarung_paarung
,"Als Freibrüter nimmt der Gimpel keine künstlichen Nisthilfen an. Im Siedlungsbereich braucht er dichte, ausreichend hohe Hecken (mind. 3 m) aus einheimischen Pflanzen  (Knospen dienen als Nahrung) wie z.B. Vogelbeere, Mehlbeere oder Nadelbäume wie z. B. Fichte oder Lärche, um gut versteckte Neststandorte zu ermöglichen. Die Heckenpflanzen dürfen nicht zu stark ausgedünnt werden, da die Gimpel eine buschige Vegetation bevorzugen um die Nester vor möglichen Räubern verstecken zu können.","Bauer, Bezzel & Fiedler (2012); Glutz von Blotzheim (1998)",Pyrrhula pyrrhula,kritische_standortfaktoren_nach_lebensphasen_brut_und_aufzucht_brut
,"Für die Aufzucht der Nestlinge  müssen ausreichend Insekten vorhanden sein wie Blattläuse, Käfer, Fliegen, Spannerraupen sowie Gehäuseschnecken. Das bedeutet, daß ausreichend insektenfreundliche Vegetation in der Nestumgebung vorhanden sein muß.","Bauer, Bezzel & Fiedler (2012); Glutz von Blotzheim (1998)",Pyrrhula pyrrhula,kritische_standortfaktoren_nach_lebensphasen_brut_und_aufzucht_aufzucht
,siehe Brut und Aufzucht,,Pyrrhula pyrrhula,kritische_standortfaktoren_nach_lebensphasen_jungtiere_habitatanforderungen
