id,attribute_value,sources,species,attribute_slug
,https://www.iucnredlist.org/api/v4/assessments/22071456/distribution_map/jpg,"Coroiu, I. 2016. Vespertilio murinus. The IUCN Red List of Threatened Species 2016: e.T22947A22071456.",Vespertilio murinus,kurzcharakteristik_verbreitungskarte_verbreitung
,"Mittelgroße, robuste und kräftige Fledermaus mit eher schmalen Flügeln. Außergewöhnliche Färbung durch schwarzbraunes Rückenfell mit silberweißen Haarspitzen (Name!)","Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S.,  S. 410;
Rydell, Jens et al. (1994): “Vespertilio murinus”, The American Society of Mammalogists, No. 467, 6 S. S.1;
Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 315


",Vespertilio murinus,kurzcharakteristik_kurzbeschreibung_hauptmerkmal_art
,"Unterseite weißlich-beige bis bräunlich-gelb, deutlich und scharf von der Rückenfärbung abgesetzt; häufig gelbliche Fellpartien rund um die Ohren; Ohren und Gesicht schwärzlichbraun; Flughäute grau; ","Rydell, Jens et al. (1994): “Vespertilio murinus”, The American Society of Mammalogists, No. 467, 6 S. S.1;
Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 315



",Vespertilio murinus,kurzcharakteristik_aussehen_und_koerperbau_aussehen
,"Schnauze groß und kurz; Kopf-Rumpf-Länge 5,5-6,3 cm; Flügelspannweite 27-33 cm; Gewicht 12-23 g; Kurze, breite Ohren","Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S., S. 410",Vespertilio murinus,kurzcharakteristik_aussehen_und_koerperbau_morphologie
,"Kann in fast jeder Landschaft gefunden werden, einschließlich bewaldeter und städtischer Gebiete, baumloser Steppen und landwirtschaftlicher Gebiete; 
Besonders auffällig ist die Anpassung an Baumhöhlen und Spalten an Gebäuden oder im Fels. Größere unterirdische Quartiere und Felshöhlen werden kaum genutzt.
Jagdgebiete befinden sich meist im freien Luftraum über Gewässern und in Offenlandbereichen und Siedlungen in bis zu 40 m Höhe, seltener über Wald; ","Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S., S. 410;
Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 94",Vespertilio murinus,kurzcharakteristik_habitat_und_raumansprueche_habitat
,"Sommerquartiere und Wochenstuben befinden sich meist in hohlen Bäumen oder in senkrechten Spalten an und in Häusern.
Winterquartiere sind in Felsspalten sowie in Spalten von meist höheren Gebäuden zu finden.
Der Anflug zu allen Quartieren sollte frei sein. 
","Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S., S. 410; Rydell, Jens et al. (1994): “Vespertilio murinus”, The American Society of Mammalogists, No. 467, 6 S. S.3; https://www.bfn.de/artenportraits/vespertilio-murinus#anchor-field-description, zuletzt geöffnet 01.11.23;
Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 317",Vespertilio murinus,kurzcharakteristik_habitat_und_raumansprueche_habitatbesonderheiten
,"Hauptverbreitungsgebiet ist Mittel- und Zentralasien. In Europa vom östlichen Frankreich und dem Alpenraum sowie in geringer Dichte über die Balkanhalbinsel nach Norden verbreitet; Im Norden verläuft die Verbreitungsgrenze durch die Niederlande, Dänemark, entlang 60° N durch das südliche Skandinavien, über Russland nach Sibirien. Ostwärts über den Kaukasus und Iran bis in die Mongolei, Nordost-China, Korea, Afghanistan und das nördliche Pakistan vorkommend;","Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S.,  S. 410;
Dietz, Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S. 315 f.",Vespertilio murinus,kurzcharakteristik_verbreitung_verbreitung_allgemein
,"In Deutschland liegt der Verbreitungsschwerpunkt in Bayern. Dort tritt die Art gehäuft im Süden und Osten auf. Die größte Quartiersdichte ist im Oberpfälzer und Bayerischen Wald nachgewiesen. Jedoch werden auch hier v.a. Männchenkolonien gefunden, für Wochenstubenquartiere gibt es nur wenige Nachweise. Im Nordwesten Bayerns und in den anderen Bundeländern nur vereinzelte Nachweise.","Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S., S. 410; lfu.bayern",Vespertilio murinus,kurzcharakteristik_verbreitung_verbreitung_deutschland
,"Die Verteilung in Europa ist sehr ungleichmäßig. Im Norden, z.B. Dänemark ausgesprochen häufig, im westlichen und südlichen Europa, insbesondere Fortpflanzungskolonien, sehr dünn gesät.","https://www.iucnredlist.org/species/22947/22071456#population, zuletzt geöffnet am 08.11.23",Vespertilio murinus,kurzcharakteristik_verbreitung_haeufigkeit
,Balz findet zwischen Anfang September und Ende Dezember (Hauptzeit Oktober/November) bei den Winterquartieren statt; ,"Ineichen, Stefan et al. (2012): ""Stadtfauna, 600m Tierarten unserer Städte"", Haupt Verlag, 436 S., S. 410; 
Dietz Christian (2007): ""Handbuch der Fledermäuse Europas und Nordwestafrikas : Biologie, Kennzeichen, Gefährdung"",  Kosmos, 399 S., S.82",Vespertilio murinus,kurzcharakteristik_lebenszyklus_balz_und_paarung
